"Ntoklo Recommendations","Ntoklo Recommendations"
"Outputs Ntoklo recommendaded products, regardless page context","Outputs Ntoklo recommendaded products, regardless page context"
"Widget type","Widget type"
"Header","Header"
"Widget's header been displayed on the page.","Widget's header been displayed on the page."
"Time Window","Time Window"
"The time window for which the charts are requested.","The time window for which the charts are requested."
"Max products","Max products"
"Limits the number of products displayed in the widget.","Limits the number of products displayed in the widget."
"Column count","Column count"
"The number of columns used when displaying in <strong>Recommendation Grid Template</strong>.","The number of columns used when displaying in <strong>Recommendation Grid Template</strong>."
"Cache lifetime","Cache lifetime"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"Debug","Debug"
"Turn this ON to force logging of API call and set the first 4 products from catalog as API response to test the look and feel of the widget.","Turn this ON to force logging of API call and set the first 4 products from catalog as API response to test the look and feel of the widget."
"Frontend Template","Frontend Template"